Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,PrimaryEnergyInputToPower.MWy,PowerOutput.MWy,Capacity.MW,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,CapEx.USD_kW
alb.ore,ALB,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,2.56E-03,2.56E-03,0.147390433,4610.524834
alb.bio,ALB,bio,2018,0,0,0,0,0,0.771818182,0.35,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
are.coa,ARE,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
are.nga,ARE,nga,2018,29767,133739,39493.19174,15267.00913,32371,0.47162612,0.38657319,0.9,0.065312831,0.045972559,0.003,0.019340273,1110
are.oil,ARE,oil,2018,242,953,321.0720731,108.7899543,500,0.217579909,0.338833438,0,0.188070568,0.120453488,0.005,0.06761708,2330
are.nuc,ARE,nuc,2018,0,0,0,0,0,0.91,0.33,0,0.065321596,0.0032,0.0032,0.062121596,4690
are.wnd,ARE,wnd,2018,0,1,0,0.114155251,1,0.114155251,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
are.sol,ARE,sol,2018,153,1303,202.9918479,148.7442922,594,0.250411266,0.73275993,0,0.060936911,0,0,0.060936911,870
are.hyd,ARE,hyd,2018,0,0,0,0,0,0.676666667,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
are.ore,ARE,ore,2018,0,0,0,0,0,0.404365079,1,0,0.139229782,0.002562698,0.002562698,0.136667083,4545.793651
are.bio,ARE,bio,2018,0,0,0,0,0,0.771818182,0.35,0,0.167742993,1.06E-01,7.96E-03,0.062020405,2988.181818
arg.coa,ARG,coa,2018,537,2283,712.4615837,260.6164384,930,0.280232729,0.36579718,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
arg.nga,ARG,nga,2018,16567,95357,21980.16957,10885.50228,24072.5,0.452196585,0.495241961,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
arg.oil,ARG,oil,2018,1584,6811,2101.56266,777.5114155,2913,0.266910888,0.369968229,0,0.188070568,0.120453488,0.005,0.06761708,2330
arg.nuc,ARG,nuc,2018,1798,6902,2385.485899,787.8995434,1627,0.484265239,0.330288913,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
arg.wnd,ARG,wnd,2018,121,1413,160.5360366,161.3013699,750,0.215068493,1,0,0.058694877,0,0,0.058694877,1540
arg.sol,ARG,sol,2018,9,108,11.94069693,12.32876712,190.63,0.064673803,1,0,0.135794033,0,0,0.135794033,1100
arg.hyd,ARG,hyd,2018,2776,32285,3683.041632,3685.502283,11288.32,0.326488112,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
arg.ore,ARG,ore,2018,42,145,55.72325236,16.55251142,0,0.445555556,0.297048552,0,0.182965786,0.000622222,0.000622222,0.182343564,4622.222222
arg.bio,ARG,bio,2018,548,1215,727.0557689,138.6986301,653,0.21240219,0.190767526,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
arm.coa,ARM,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.094309193,5.17E-02,4.04E-03,0.042621987,1793.75
arm.nga,ARM,nga,2018,632,3376,838.5022736,385.3881279,2390,0.161250263,0.459614887,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
arm.oil,ARM,oil,2018,0,0,0,0,0,0.45,0.323193916,0,0.188070568,1.20E-01,5.00E-03,0.06761708,2330
arm.nuc,ARM,nuc,2018,541,2076,717.7685602,236.9863014,407.5,0.581561476,0.330170914,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
arm.wnd,ARM,wnd,2018,0,2,0,0.228310502,11.8,0.019348348,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
arm.sol,ARM,sol,2018,2,19,2.653488208,2.168949772,17,0.127585281,0.81739567,0,0.077021936,0,0,0.077021936,967.0967742
arm.hyd,ARM,hyd,2018,199,2318,264.0220767,264.6118721,1336.4,0.198003496,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
arm.ore,ARM,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
arm.bio,ARM,bio,2018,0,0,0,0,0,0.771818182,0.35,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
aus.coa,AUS,coa,2018,37593,157711,49876.29109,18003.53881,25150,0.715846474,0.360963865,0.9,0.112788373,0.044948154,0.0022,0.06784022,1980
aus.nga,AUS,nga,2018,12302,53817,16321.60596,6143.493151,18331,0.335142281,0.376402492,0.9,0.081438281,5.08E-02,4.40E-03,0.030627918,1060
aus.oil,AUS,oil,2018,1138,4838,1509.83479,552.283105,1878,0.294080461,0.365790422,0,0.188070568,0.120453488,0.005,0.06761708,2330
aus.nuc,AUS,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
aus.wnd,AUS,wnd,2018,1304,15164,1730.074311,1731.050228,5818,0.297533556,1,0,0.052984016,0.0059,0.0059,0.047084016,1480
aus.sol,AUS,sol,2018,854,9929,1133.039465,1133.447489,11305,0.100260724,1,0,0.049584402,0,0,0.049584402,780
aus.hyd,AUS,hyd,2018,1361,15831,1805.698725,1807.191781,8725,0.207127998,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
aus.ore,AUS,ore,2018,350,1254,464.3604363,143.1506849,1,0.422222222,0.308274938,0,0.121685458,0.004555556,0.004555556,0.117129902,4368.888889
aus.bio,AUS,bio,2018,807,2264,1070.682492,258.4474886,709,0.364523961,0.241385743,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
aut.coa,AUT,coa,2018,816,3620,1082.623189,413.2420091,1187,0.348139856,0.381704376,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
aut.nga,AUT,nga,2018,1951,9918,2588.477747,1132.191781,5228.336,0.216549162,0.43739676,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
aut.oil,AUT,oil,2018,318,716,421.904625,81.73515982,704.406,0.116034162,0.193728997,0,0.188070568,1.20E-01,5.00E-03,0.06761708,2330
aut.nuc,AUT,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
aut.wnd,AUT,wnd,2018,519,6030,688.5801899,688.3561644,2877.5,0.239220214,0.999674656,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
aut.sol,AUT,sol,2018,124,1438,164.5162689,164.1552511,1437.6,0.114187014,0.99780558,0,0.077021936,0,0,0.077021936,967.0967742
aut.hyd,AUT,hyd,2018,3236,37638,4293.34392,4296.575342,14516.246,0.295983916,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
aut.ore,AUT,ore,2018,683,1681,906.1662229,191.8949772,1,0.400171531,0.211765758,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
aut.bio,AUT,bio,2018,983,3966,1304.189454,452.739726,1734,0.261095574,0.347142606,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
aze.coa,AZE,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
aze.nga,AZE,nga,2018,4996,23128,6628.413543,2640.182648,3070,0.859994348,0.398312904,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
aze.oil,AZE,oil,2018,13,49,17.24767335,5.593607306,3482.2,0.45,0.324310833,0,0.188070568,0.120453488,0.005,0.06761708,2330
aze.nuc,AZE,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,3.93E-03,3.93E-03,0.170074358,7644.444444
aze.wnd,AZE,wnd,2018,7,83,9.287208727,9.474885845,66,0.143558876,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
aze.sol,AZE,sol,2018,3,39,3.980232311,4.452054795,34.9,0.12756604,1,0,0.077021936,0,0,0.077021936,967.0967742
aze.hyd,AZE,hyd,2018,152,1768,201.6651038,201.826484,1130.8,0.17848115,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
aze.ore,AZE,ore,2018,71,162,94.19883137,18.49315068,0,0.400171531,0.196320383,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
aze.bio,AZE,bio,2018,0,0,0,0,45,0.771818182,0.35,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
bel.coa,BEL,coa,2018,468,2345,620.9162406,267.6940639,1006.5,0.26596529,0.431127496,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
bel.nga,BEL,nga,2018,3784,23982,5020.399689,2737.671233,4178,0.655258792,0.545309418,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
bel.oil,BEL,oil,2018,31,161,41.12906722,18.37899543,1666.9,0.011025854,0.44686147,0,0.188070568,0.120453488,0.005,0.06761708,2330
bel.nuc,BEL,nuc,2018,7451,28597,9885.570317,3264.497717,5919,0.551528589,0.330228567,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
bel.wnd,BEL,wnd,2018,642,7465,851.7697146,852.1689498,3191,0.267053886,1,0,0.067947992,2.91E-03,2.91E-03,0.065037278,1655.357143
bel.sol,BEL,sol,2018,335,3902,444.4592748,445.43379,4254.5,0.104697095,1,0,0.077021936,0,0,0.077021936,967.0967742
bel.hyd,BEL,hyd,2018,27,314,35.8220908,35.84474886,1423,0.025189563,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
bel.ore,BEL,ore,2018,1015,3343,1346.645265,381.6210046,1.54956621,0.400171531,0.283386438,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
bel.bio,BEL,bio,2018,723,3484,959.235987,397.716895,1064,0.373794074,0.414618405,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
ben.coa,BEN,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
ben.nga,BEN,nga,2018,16,63,21.22790566,7.191780822,100,0.071917808,0.338788995,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
ben.oil,BEN,oil,2018,41,134,54.39650826,15.29680365,254,0.060223636,0.281209293,0,0.188070568,0.120453488,0.005,0.06761708,2330
ben.nuc,BEN,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
ben.wnd,BEN,wnd,2018,0,0,0,0,0,0.346428571,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
ben.sol,BEN,sol,2018,0,5,0,0.570776256,3,0.190258752,1,0,0.077021936,0.00E+00,0.00E+00,0.077021936,967.0967742
ben.hyd,BEN,hyd,2018,0,0,0,0,1,0.676666667,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
ben.ore,BEN,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
ben.bio,BEN,bio,2018,0,0,0,0,3,0.771818182,0.35,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
bgd.coa,BGD,coa,2018,393,1500,521.4104328,171.2328767,524,0.326780299,0.328403242,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
bgd.nga,BGD,nga,2018,13282,59437,17621.81519,6785.045662,10877,0.623797523,0.385036705,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
bgd.oil,BGD,oil,2018,1868,16293,2478.357986,1859.931507,6540,0.284393197,0.750469269,0,0.188070568,0.120453488,0.005,0.06761708,2330
bgd.nuc,BGD,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
bgd.wnd,BGD,wnd,2018,1,6,1.326744104,0.684931507,3,0.228310502,0.516249897,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
bgd.sol,BGD,sol,2018,25,291,33.1686026,33.21917808,201,0.165269543,1,0,0.077021936,0,0,0.077021936,967.0967742
bgd.hyd,BGD,hyd,2018,93,1086,123.3872017,123.9726027,230,0.539011316,1,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333
bgd.ore,BGD,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
bgd.bio,BGD,bio,2018,0,0,0,0,0,0.771818182,0.35,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
bgr.coa,BGR,coa,2018,4893,18659,6491.7589,2130.022831,4495,0.473864923,0.328111821,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
bgr.nga,BGR,nga,2018,617,2017,818.601112,230.2511416,983.265,0.234169976,0.281273917,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
bgr.oil,BGR,oil,2018,71,338,94.19883137,38.58447489,74,0.521411823,0.409606726,0,0.188070568,0.120453488,0.005,0.06761708,2330
bgr.nuc,BGR,nuc,2018,4186,16125,5553.750819,1840.753425,1926,0.955739057,0.331443287,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
bgr.wnd,BGR,wnd,2018,113,1318,149.9220837,150.456621,701,0.214631414,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
bgr.sol,BGR,sol,2018,115,1343,152.5755719,153.3105023,1036,0.14798311,1,0,0.077021936,0,0,0.077021936,967.0967742
bgr.hyd,BGR,hyd,2018,443,5147,587.747638,587.5570776,3204,0.183382359,0.999675779,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
bgr.ore,BGR,ore,2018,71,312,94.19883137,35.61643836,0,0.400171531,0.378098516,0,0.149953131,2.56E-03,2.56E-03,0.147390433,4610.524834
bgr.bio,BGR,bio,2018,389,1280,516.1034564,146.1187215,179.2625571,0.815110104,0.283119052,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
bhr.coa,BHR,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
bhr.nga,BHR,nga,2018,8676,29544,11510.83184,3372.60274,6971,0.483804725,0.292993833,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
bhr.oil,BHR,oil,2018,1,2,1.326744104,0.228310502,0.236073059,0.967117988,0.172083299,0,0.188070568,0.120453488,0.005,0.06761708,2330
bhr.nuc,BHR,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
bhr.wnd,BHR,wnd,2018,0,0,0,0,1,0.346428571,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
bhr.sol,BHR,sol,2018,0,0,0,0,6,0.177419355,1,0,0.077021936,0,0,0.077021936,967.0967742
bhr.hyd,BHR,hyd,2018,0,0,0,0,0,0.676666667,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
bhr.ore,BHR,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
bhr.bio,BHR,bio,2018,0,0,0,0,0,0.771818182,0.35,0,0.167742993,1.06E-01,7.96E-03,0.062020405,2988.181818
bih.coa,BIH,coa,2018,3328,12437,4415.404377,1419.748858,2065,0.687529714,0.32154447,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
bih.nga,BIH,nga,2018,6,25,7.960464623,2.853881279,2.557317352,0.605238095,0.358506873,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
bih.oil,BIH,oil,2018,11,47,14.59418514,5.365296804,230,0.023327377,0.367632502,0,0.188070568,0.120453488,0.005,0.06761708,2330
bih.nuc,BIH,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
bih.wnd,BIH,wnd,2018,9,103,11.94069693,11.75799087,50.6,0.232371361,0.984698877,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
bih.sol,BIH,sol,2018,2,21,2.653488208,2.397260274,18,0.133181126,0.90343732,0,0.077021936,0,0,0.077021936,967.0967742
bih.hyd,BIH,hyd,2018,552,6418,732.3627453,732.6484018,2184.6,0.335369588,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
bih.ore,BIH,ore,2018,2,7,2.653488208,0.799086758,0,0.400171531,0.301145773,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
bih.bio,BIH,bio,2018,5,1,6.633720519,0.114155251,0.913242009,0.125,0.01720833,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
blr.coa,BLR,coa,2018,32,26,42.45581132,2.96803653,70,0.042400522,0.06990884,0.9,0.094309193,5.17E-02,4.04E-03,0.042621987,1793.75
blr.nga,BLR,nga,2018,10302,37890,13668.11776,4325.342466,7588.3,0.570001511,0.316454873,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
blr.oil,BLR,oil,2018,126,264,167.1697571,30.1369863,1410,0.021373749,0.180277742,0,0.188070568,0.120453488,0.005,0.06761708,2330
blr.nuc,BLR,nuc,2018,0,0,0,0,0,0.91,0.33,0,0.077800547,0.0037,0.0037,0.074100547,5590
blr.wnd,BLR,wnd,2018,9,99,11.94069693,11.30136986,11.30136986,1,0.946458144,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
blr.sol,BLR,sol,2018,15,177,19.90116156,20.20547945,154,0.131204412,1,0,0.077021936,0,0,0.077021936,967.0967742
blr.hyd,BLR,hyd,2018,28,324,37.14883491,36.98630137,95.1,0.388920099,0.995624801,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
blr.ore,BLR,ore,2018,27,75,35.8220908,8.561643836,0,0.400171531,0.239004582,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
blr.bio,BLR,bio,2018,149,131,197.6848715,14.9543379,600,0.024923896,0.075647356,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
bol.coa,BOL,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
bol.nga,BOL,nga,2018,1547,6794,2052.473129,775.5707763,1786.79,0.434058158,0.377871342,0.9,0.074743479,5.05E-02,3.24E-03,0.024247542,944.2857143
bol.oil,BOL,oil,2018,68,94,90.21859906,10.73059361,30,0.357686454,0.118939927,0,0.188070568,0.120453488,0.005,0.06761708,2330
bol.nuc,BOL,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
bol.wnd,BOL,wnd,2018,5,59,6.633720519,6.735159817,27,0.249450364,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
bol.sol,BOL,sol,2018,11,127,14.59418514,14.49771689,70,0.207110241,0.993389953,0,0.077021936,0,0,0.077021936,967.0967742
bol.hyd,BOL,hyd,2018,225,2612,298.5174234,298.173516,690.23,0.431991533,0.998847949,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
bol.ore,BOL,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
bol.bio,BOL,bio,2018,209,196,277.2895177,22.37442922,39.82317352,0.561844455,0.080689777,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
bra.coa,BRA,coa,2018,4844,23285,6426.748439,2658.105023,4652,0.57138973,0.413600291,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
bra.nga,BRA,nga,2018,10648,54622,14127.17122,6235.388128,13143,0.474426549,0.441375561,0.9,0.071541049,0.049510363,0.0031,0.022030686,860
bra.oil,BRA,oil,2018,2689,12526,3567.614895,1429.908676,7998,0.17878328,0.400802418,0,0.188070568,1.20E-01,5.00E-03,0.06761708,2330
bra.nuc,BRA,nuc,2018,4084,15674,5418.42292,1789.269406,1990,0.899130355,0.330219592,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
bra.wnd,BRA,wnd,2018,4168,48475,5529.869425,5533.675799,14403,0.384202999,1,0,0.04340581,0.0035,0.0035,0.03990581,1110
bra.sol,BRA,sol,2018,298,3461,395.3697429,395.0913242,2296,0.172078103,0.999295802,0,0.0769729,0,0,0.0769729,920
bra.hyd,BRA,hyd,2018,33445,388971,44372.95655,44403.08219,104195,0.426153675,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
bra.ore,BRA,ore,2018,343,1496,455.0732276,170.7762557,0,0.472222222,0.375272034,0,0.133558986,0.002955556,0.002955556,0.13060343,4215.555556
bra.bio,BRA,bio,2018,9320,52414,12365.25505,5983.333333,14767,0.405182727,0.483882727,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
brn.coa,BRN,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
brn.nga,BRN,nga,2018,1296,4245,1719.460359,484.5890411,930.2,0.520951452,0.281826236,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
brn.oil,BRN,oil,2018,13,47,17.24767335,5.365296804,13.5,0.397429393,0.311073656,0,0.188070568,0.120453488,0.005,0.06761708,2330
brn.nuc,BRN,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,3.93E-03,3.93E-03,0.170074358,7644.444444
brn.wnd,BRN,wnd,2018,0,0,0,0,0,0.346428571,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143
brn.sol,BRN,sol,2018,0,2,0,0.228310502,1.2,0.190258752,1,0,0.077021936,0,0,0.077021936,967.0967742
brn.hyd,BRN,hyd,2018,0,0,0,0,0,0.676666667,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
brn.ore,BRN,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
brn.bio,BRN,bio,2018,0,0,0,0,0,0.771818182,0.35,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
bwa.coa,BWA,coa,2018,1128,3146,1496.567349,359.1324201,752,0.477569708,0.239970771,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
bwa.nga,BWA,nga,2018,0,0,0,0,35,0.605238095,0.444415819,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
bwa.oil,BWA,oil,2018,3,8,3.980232311,0.913242009,160,0.45,0.229444399,0,0.188070568,0.120453488,0.005,0.06761708,2330
bwa.nuc,BWA,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
bwa.wnd,BWA,wnd,2018,0,0,0,0,0,0.346428571,1,0,0.067947992,2.91E-03,2.91E-03,0.065037278,1655.357143
bwa.sol,BWA,sol,2018,0,5,0,0.570776256,3,0.190258752,1,0,0.077021936,0,0,0.077021936,967.0967742
bwa.hyd,BWA,hyd,2018,0,0,0,0,0,0.676666667,1,0,0.079959769,0.000933333,0.000933333,0.079026435,4293.333333
bwa.ore,BWA,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834
bwa.bio,BWA,bio,2018,0,0,0,0,0,0.771818182,0.35,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
can.coa,CAN,coa,2018,10821,50530,14356.69795,5768.26484,10706,0.538788048,0.401782141,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
can.nga,CAN,nga,2018,15447,63114,20494.21617,7204.794521,15054,0.478596687,0.351552578,0.9,0.075002036,0.049657514,0.0023,0.025344523,940
can.oil,CAN,oil,2018,1913,6110,2538.061471,697.4885845,6018,0.115900396,0.274811541,0,0.188070568,0.120453488,0.005,0.06761708,2330
can.nuc,CAN,nuc,2018,26246,100731,34821.72575,11498.9726,13554,0.848382219,0.330224087,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444
can.wnd,CAN,wnd,2018,2853,33183,3785.200928,3788.013699,12743,0.297262316,1,0,0.045087238,0,0,0.045087238,1550
can.sol,CAN,sol,2018,326,3796,432.5185778,433.3333333,3175,0.13648294,1,0,0.060420093,0.00E+00,0.00E+00,0.060420093,840
can.hyd,CAN,hyd,2018,33176,385840,44016.06239,44045.6621,80630,0.546268909,1,0,0.137880931,0,0,0.137880931,6820
can.ore,CAN,ore,2018,327,1257,433.8453219,143.4931507,27.39190639,0.37,0.330747258,0,0.162258842,0,0,0.162258842,6140
can.bio,CAN,bio,2018,2182,9517,2894.955634,1086.415525,3358,0.323530532,0.375278817,0,0.167742993,0.105722588,0.007963636,0.062020405,2988.181818
che.coa,CHE,coa,2018,0,0,0,0,117,0.65875,0.357142857,0.9,0.094309193,0.051687206,0.00404375,0.042621987,1793.75
che.nga,CHE,nga,2018,106,621,140.634875,70.89041096,305.5,0.232047172,0.504074192,0.9,0.074743479,0.050495938,0.003238095,0.024247542,944.2857143
che.oil,CHE,oil,2018,5,24,6.633720519,2.739726027,163.5,0.016756734,0.412999918,0,0.188070568,0.120453488,0.005,0.06761708,2330
